pH,Temperature,Turbidity_V,Dissolved_Oxygen,Distance_CM,Threat_Label
6.87,29.8,1.21,8.3,17.5,0
9.75,21.2,1.08,8.6,10.9,1
8.66,23.6,0.83,1.0,7.7,1
7.99,31.6,1.35,3.5,15.8,1
5.78,27.9,1.39,7.7,18.8,1
5.78,33.9,1.06,5.3,7.1,1
5.29,26.4,1.17,7.5,8.2,1
9.33,33.0,1.07,7.8,16.4,1
8.01,26.7,0.99,4.5,24.2,0
8.54,34.7,0.85,3.9,6.1,1
5.1,34.4,1.07,4.6,16.7,1
9.85,24.9,1.29,6.2,22.8,1
9.16,33.3,0.81,3.9,12.1,1
6.06,32.7,1.15,7.2,8.6,0
5.91,23.2,1.33,8.2,17.0,1
5.92,29.4,0.93,3.3,1.8,1
6.52,21.1,0.91,8.7,9.6,0
7.62,32.6,1.26,6.0,7.2,1
7.16,22.6,0.95,8.0,6.4,0
6.46,21.1,0.92,1.8,5.3,1
8.06,26.0,1.03,3.0,18.7,0
5.7,28.7,1.04,3.6,23.9,1
6.46,32.8,1.32,3.4,10.2,1
6.83,34.6,1.17,2.4,2.2,1
7.28,26.6,1.04,7.9,18.3,0
8.93,20.9,1.12,4.3,13.9,1
6.0,31.2,1.37,8.7,18.4,1
7.57,28.5,0.87,5.7,16.5,0
7.96,26.7,0.92,2.1,22.7,1
5.23,24.6,1.38,5.4,4.4,1
8.04,27.5,1.37,8.9,5.1,1
5.85,25.1,0.91,5.5,9.2,1
5.33,31.4,0.89,1.0,12.8,1
9.74,28.2,1.05,8.5,23.2,1
9.83,33.2,0.83,2.9,22.8,1
9.04,28.2,1.19,6.5,21.9,1
6.52,23.6,0.85,5.1,6.3,0
5.49,32.8,0.83,3.6,18.5,1
8.42,28.4,1.09,3.3,10.2,0
7.2,23.1,1.37,8.4,23.3,1
5.61,29.4,1.06,8.3,6.1,1
7.48,25.4,1.01,5.1,4.4,1
5.17,32.7,1.4,3.1,21.2,1
9.55,26.8,1.12,1.8,18.2,1
6.29,30.9,1.03,2.3,20.7,1
8.31,21.4,1.03,5.2,4.8,1
6.56,25.9,0.92,3.5,22.2,0
7.6,34.7,1.11,1.3,17.3,1
7.73,32.1,1.06,4.6,16.6,0
5.92,22.4,0.96,7.0,15.0,1
9.85,24.2,0.9,8.1,19.4,1
8.88,24.9,0.99,5.7,11.0,1
9.7,29.8,1.11,6.8,4.2,1
9.47,31.4,0.83,3.9,13.9,1
7.99,31.2,0.89,5.0,19.0,0
9.61,27.6,1.37,6.8,4.7,1
5.44,32.2,1.13,6.8,6.4,1
5.98,26.6,0.84,4.4,17.7,1
5.23,21.9,1.22,5.3,7.5,1
6.63,28.5,0.84,8.4,5.1,0
6.94,34.3,1.24,6.1,22.3,0
6.36,31.9,1.25,6.1,4.9,1
9.14,28.7,1.19,7.3,9.3,1
6.78,29.7,1.24,1.9,11.3,1
6.4,34.0,0.85,5.2,12.4,0
7.71,26.4,1.24,8.7,9.7,0
5.7,25.0,0.88,3.9,22.9,1
9.01,34.7,1.0,3.4,16.8,1
5.37,33.0,1.37,5.8,9.6,1
9.93,24.8,1.1,2.8,9.6,1
8.86,27.0,1.38,5.4,13.1,1
5.99,26.2,0.85,2.2,1.8,1
5.03,22.2,1.09,5.6,23.2,1
9.08,34.4,0.84,5.8,6.4,1
8.53,26.1,1.18,4.3,17.7,1
8.65,33.1,0.85,4.1,19.7,1
8.86,22.8,0.91,3.0,20.9,1
5.37,28.2,0.96,3.6,5.0,1
6.79,20.4,1.25,5.0,13.9,0
5.58,31.5,0.9,3.0,3.0,1
9.32,28.7,1.31,7.3,20.3,1
8.12,29.4,0.88,6.7,12.7,0
6.65,20.8,0.82,3.2,4.8,1
5.32,23.2,1.04,1.8,18.2,1
6.55,21.1,1.39,1.0,8.9,1
6.63,24.3,0.87,5.8,3.7,1
8.65,29.4,0.86,2.7,12.1,1
8.19,28.5,1.25,1.1,6.6,1
9.44,29.2,0.99,3.9,23.8,1
7.36,28.2,1.23,8.7,9.7,0
5.6,24.1,0.92,6.5,14.7,1
8.57,23.7,1.08,7.9,23.8,1
8.8,22.1,0.96,2.2,10.4,1
7.81,32.7,1.07,1.6,9.6,1
8.85,29.2,1.26,1.1,4.9,1
7.47,22.8,1.26,8.6,23.5,1
7.61,22.7,1.11,3.4,20.2,0
7.14,33.1,1.36,4.7,6.3,1
5.13,31.1,0.96,4.2,9.0,1
5.54,29.9,0.94,6.8,23.0,1
5.16,26.1,1.17,3.5,13.9,1
8.18,23.9,1.17,5.3,14.4,0
6.57,34.7,0.83,9.0,16.6,0
7.54,32.0,1.16,4.6,19.3,0
9.54,24.5,1.02,5.4,23.5,1
6.25,32.7,1.25,5.0,20.3,0
7.05,31.4,1.28,7.4,23.4,1
8.78,24.5,1.13,3.1,20.7,1
6.14,26.4,0.8,2.4,2.1,1
5.38,22.8,1.18,7.0,3.8,1
6.45,21.7,1.25,4.3,22.2,0
5.81,30.8,0.95,8.3,1.7,1
9.65,24.0,1.08,6.2,20.1,1
9.04,32.3,1.38,5.5,21.4,1
8.17,34.9,0.98,1.6,11.0,1
9.36,21.1,0.93,6.8,9.5,1
9.02,27.1,0.93,6.5,5.7,1
5.93,32.0,1.14,6.1,2.2,1
9.46,31.8,1.37,3.1,18.9,1
7.7,31.4,1.17,8.6,2.8,1
9.04,25.2,0.98,3.6,23.7,1
9.48,26.8,1.18,2.2,8.1,1
6.59,28.9,1.17,8.9,20.1,0
5.55,34.6,1.16,7.0,2.4,1
6.14,24.9,0.9,4.3,13.9,0
7.14,33.8,1.18,8.5,9.4,0
9.09,24.0,1.06,1.7,1.7,1
9.3,34.8,0.81,1.7,16.7,0
5.03,30.1,1.12,6.5,23.6,1
7.55,27.0,1.39,2.4,1.3,1
7.09,29.2,1.01,8.3,7.5,0
6.11,24.1,1.38,7.7,17.9,1
5.6,24.1,0.86,3.5,21.9,1
6.69,21.7,1.24,8.1,5.6,0
9.71,21.7,0.87,1.3,2.7,1
6.62,25.2,0.96,5.4,1.2,1
7.59,31.4,1.14,8.5,6.2,0
8.52,29.1,1.16,7.8,2.7,1
6.82,21.5,1.27,3.8,9.6,1
9.86,32.8,1.17,2.5,11.6,1
9.81,29.0,1.16,2.7,12.5,1
6.26,34.4,1.35,5.1,4.4,1
7.49,30.1,1.07,5.8,12.1,0
6.5,22.6,0.94,1.3,1.2,1
6.42,27.1,0.9,4.3,6.7,0
5.18,29.7,1.04,7.6,9.9,1
8.05,20.4,1.23,4.6,3.8,1
7.51,20.2,0.83,2.4,20.5,1
5.26,21.9,0.88,8.6,5.8,1
6.39,23.8,0.86,3.1,19.1,0
9.54,26.4,1.15,7.4,12.4,1
6.2,27.3,0.95,2.6,12.5,1
5.72,22.1,0.9,4.4,16.5,1
7.45,30.1,1.16,4.9,2.1,1
9.93,28.9,1.26,5.0,2.9,1
6.21,24.4,1.0,5.1,8.8,0
8.36,20.2,1.15,2.8,11.0,1
8.81,21.2,0.86,5.1,11.3,1
6.19,25.9,1.36,4.9,17.2,1
8.64,22.3,1.0,2.7,1.0,1
6.84,25.7,1.4,8.9,24.0,1
8.16,29.4,1.39,7.9,5.2,1
8.17,28.2,1.27,8.1,7.0,1
